documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
bericht-19-03-1929,Bericht 19 03 1929,legacy/Webpage Uranos/Briefe Fotos,10,10,,,false,historische-briefe/bericht-19-03-1929.pdf,false,
brief-06-10-1922,Brief 06 10 1922,legacy/Webpage Uranos/Briefe Fotos,2,2,,,false,historische-briefe/brief-06-10-1922.pdf,false,
brief-14-10-1922-theowill-ubelacker,Brief 14 10 1922 Theowill Übelacker,legacy/Webpage Uranos/Briefe Fotos,5,5,,,false,historische-briefe/brief-14-10-1922-theowill-ubelacker.pdf,false,
brief-e-pfeiffer-1929,Brief E Pfeiffer 1929,legacy/Webpage Uranos/Briefe Fotos,5,5,,,false,historische-briefe/brief-e-pfeiffer-1929.pdf,false,
brief-elmerich-an-ritter-1938,Brief Elmerich an Ritter 1938,legacy/Webpage Uranos/Briefe Fotos,1,1,,,false,historische-briefe/brief-elmerich-an-ritter-1938.pdf,false,
brief-husemann-1929,Brief Husemann 1929,legacy/Webpage Uranos/Briefe Fotos,4,4,,,false,historische-briefe/brief-husemann-1929.pdf,false,
brief-maria-roschl-1929,Brief Maria Röschl 1929,legacy/Webpage Uranos/Briefe Fotos,1,1,,,false,historische-briefe/brief-maria-roschl-1929.pdf,false,
brief-stahlbusch-an-ritter-20-09-1930,Brief Stahlbusch an Ritter 20 09 1930,legacy/Webpage Uranos/Briefe Fotos,1,1,,,false,historische-briefe/brief-stahlbusch-an-ritter-20-09-1930.pdf,false,
notiz-unbekannt,Notiz unbekannt,legacy/Webpage Uranos/Briefe Fotos,3,3,,,false,historische-briefe/notiz-unbekannt.pdf,false,
rundbrief-05-1929,Rundbrief 05 1929,legacy/Webpage Uranos/Briefe Fotos,9,9,,,false,historische-briefe/rundbrief-05-1929.pdf,false,
rundbrief-21-07-1929,Rundbrief 21 07 1929,legacy/Webpage Uranos/Briefe Fotos,13,13,,,false,historische-briefe/rundbrief-21-07-1929.pdf,false,
sonder-rundbrief-02-03-1929,Sonder-Rundbrief 02 03 1929,legacy/Webpage Uranos/Briefe Fotos,2,2,,,false,historische-briefe/sonder-rundbrief-02-03-1929.pdf,false,
sonder-rundbrief-11-1928,Sonder-Rundbrief 11 1928,legacy/Webpage Uranos/Briefe Fotos,7,7,,,false,historische-briefe/sonder-rundbrief-11-1928.pdf,false,
sonder-rundbrief-12-03-1929,Sonder-Rundbrief 12 03 1929,legacy/Webpage Uranos/Briefe Fotos,2,2,,,false,historische-briefe/sonder-rundbrief-12-03-1929.pdf,false,
