originalFilename,legacyFolder,documentGroup,sequenceIndex,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
Handarbeit001.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,handarbeit,1,,,false,keyserlingk/handarbeit/001.pdf,false,
Handarbeit002.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,handarbeit,2,,,false,keyserlingk/handarbeit/002.pdf,false,
Keyserlingk Foto001.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,keyserlingk-foto,1,,,false,keyserlingk/keyserlingk-foto/001.pdf,false,
Keyserlingk Foto002.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,keyserlingk-foto,2,,,false,keyserlingk/keyserlingk-foto/002.pdf,false,
Notiz Gralburg001.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,1,,,false,keyserlingk/notiz-gralburg/001.pdf,false,
Notiz Gralburg002.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,2,,,false,keyserlingk/notiz-gralburg/002.pdf,false,
Notiz Gralburg003.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,3,,,false,keyserlingk/notiz-gralburg/003.pdf,false,
Notiz Gralburg004.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,4,,,false,keyserlingk/notiz-gralburg/004.pdf,false,
Notiz Gralburg005.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,5,,,false,keyserlingk/notiz-gralburg/005.pdf,false,
Notiz Gralburg006.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,6,,,false,keyserlingk/notiz-gralburg/006.pdf,false,
Notiz Gralburg007.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notiz-gralburg,7,,,false,keyserlingk/notiz-gralburg/007.pdf,false,
Notizen001.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,1,,,false,keyserlingk/notizen/001.pdf,false,
Notizen002.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,2,,,false,keyserlingk/notizen/002.pdf,false,
Notizen003.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,3,,,false,keyserlingk/notizen/003.pdf,false,
Notizen004.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,4,,,false,keyserlingk/notizen/004.pdf,false,
Notizen005.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,5,,,false,keyserlingk/notizen/005.pdf,false,
Notizen006.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,6,,,false,keyserlingk/notizen/006.pdf,false,
Notizen007.pdf,legacy/Webpage Uranos/Keyserlingk Notizen,notizen,7,,,false,keyserlingk/notizen/007.pdf,false,
