documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
071222-071222,071222,legacy/Webpage Uranos/F.M,1,2,1907-12-22,,false,unbekannt/071222-071222.pdf,false,
080200-080200,080200,legacy/Webpage Uranos/F.M,1,2,1908-02-00,,false,unbekannt/080200-080200.pdf,false,
101216-berlin,Berlin,legacy/Webpage Uranos/F.M,1,1,1910-12-16,,true,unbekannt/101216-berlin.pdf,false,
111028-berlin,Berlin,legacy/Webpage Uranos/F.M,1,3,1911-10-28,,true,unbekannt/111028-berlin.pdf,false,
111217b-berlin,Berlin,legacy/Webpage Uranos/F.M,1,3,1911-12-17,b,true,unbekannt/111217b-berlin.pdf,false,
111231b-hannover,Hannover,legacy/Webpage Uranos/F.M,1,4,1911-12-31,b,true,unbekannt/111231b-hannover.pdf,false,
120509-koln,Köln,legacy/Webpage Uranos/F.M,1,3,1912-05-09,,true,unbekannt/120509-koln.pdf,false,
120924b-basel,Basel,legacy/Webpage Uranos/F.M,1,4,1912-09-24,b,true,unbekannt/120924b-basel.pdf,false,
120925b-basel,Basel,legacy/Webpage Uranos/F.M,1,3,1912-09-25,b,true,unbekannt/120925b-basel.pdf,false,
120928-basel,Basel,legacy/Webpage Uranos/F.M,1,3,1912-09-28,,true,unbekannt/120928-basel.pdf,false,
130208c-berlin,Berlin,legacy/Webpage Uranos/F.M,1,3,1913-02-08,c,true,unbekannt/130208c-berlin.pdf,false,
130511-koln,Köln,legacy/Webpage Uranos/F.M,1,3,1913-05-11,,true,unbekannt/130511-koln.pdf,false,
130512-koln,Köln,legacy/Webpage Uranos/F.M,1,4,1913-05-12,,true,unbekannt/130512-koln.pdf,false,
130512a-koln,Köln,legacy/Webpage Uranos/F.M,1,3,1913-05-12,a,true,unbekannt/130512a-koln.pdf,false,
140425-kassel-vreede,Kassel Vreede,legacy/Webpage Uranos/F.M,1,1,1914-04-25,,true,unbekannt/140425-kassel-vreede.pdf,false,
140509a-1-logenvortrag,1. Logenvortrag,legacy/Webpage Uranos/F.M,1,18,1914-05-09,a,false,unbekannt/140509a-1-logenvortrag.pdf,false,
140510b-2-logenvortrag,2. Logenvortrag,legacy/Webpage Uranos/F.M,1,23,1914-05-10,b,false,unbekannt/140510b-2-logenvortrag.pdf,false,
