documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
210814b-der-mensch-als-sinneswesen,Der Mensch als Sinneswesen,legacy/Webpage Uranos/Schreibmaschin1,1,16,1921-08-14,b,false,vortraege-maschinengeschrieben/210814b-der-mensch-als-sinneswesen.pdf,false,
210819-das-auseinandersetzung-mit-dem-intellekt,Das Auseinandersetzung mit dem Intellekt,legacy/Webpage Uranos/Schreibmaschin1,1,13,1921-08-19,,false,vortraege-maschinengeschrieben/210819-das-auseinandersetzung-mit-dem-intellekt.pdf,false,
210820b-das-ich-als-bewusstseinerlebnis,Das Ich als Bewüßtseinerlebnis,legacy/Webpage Uranos/Schreibmaschin1,1,17,1921-08-20,b,false,vortraege-maschinengeschrieben/210820b-das-ich-als-bewusstseinerlebnis.pdf,false,
220827-inwiefern-ist-das-mysterium-von-golgotha,Inwiefern ist das Mysterium von Golgotha,legacy/Webpage Uranos/Schreibmaschin1,1,2,1922-08-27,,true,vortraege-maschinengeschrieben/220827-inwiefern-ist-das-mysterium-von-golgotha.pdf,false,
230130a-urteilsbildung,Urteilsbildung,legacy/Webpage Uranos/Schreibmaschin1,1,18,1923-01-30,a,false,vortraege-maschinengeschrieben/230130a-urteilsbildung.pdf,false,
230206b-neues-denken-neues-wollen,Neues Denken Neues Wollen,legacy/Webpage Uranos/Schreibmaschin1,1,13,1923-02-06,b,false,vortraege-maschinengeschrieben/230206b-neues-denken-neues-wollen.pdf,false,
230222-die-erneuerung-der-3-grossen-ideale,Die Erneuerung der 3 grossen Ideale,legacy/Webpage Uranos/Schreibmaschin1,1,12,1923-02-22,,false,vortraege-maschinengeschrieben/230222-die-erneuerung-der-3-grossen-ideale.pdf,false,
230331-die-metamorphosierung-des-festgedankens,Die Metamorphosierung des Festgedankens,legacy/Webpage Uranos/Schreibmaschin1,1,17,1923-03-31,,false,vortraege-maschinengeschrieben/230331-die-metamorphosierung-des-festgedankens.pdf,false,
230630b-warum-eine-anthroposophische-padagogik,Warum eine anthroposophische Pädagogik,legacy/Webpage Uranos/Schreibmaschin1,1,16,1923-06-30,b,false,vortraege-maschinengeschrieben/230630b-warum-eine-anthroposophische-padagogik.pdf,false,
231113-der-ubersinnliche-mensch-anthroposophisch-erfasst,Der übersinnliche Mensch anthroposophisch erfaßt,legacy/Webpage Uranos/Schreibmaschin1,1,13,1923-11-13,,false,vortraege-maschinengeschrieben/231113-der-ubersinnliche-mensch-anthroposophisch-erfasst.pdf,false,
231114b-231117a-231117c,231117a-231117c,legacy/Webpage Uranos/Schreibmaschin1,1,2,1923-11-14,b,false,vortraege-maschinengeschrieben/231114b-231117a-231117c.pdf,false,
231115a-anthroposophische-menschenerkenntnis-und-medizin,Anthroposophische Menschenerkenntnis und Medizin,legacy/Webpage Uranos/Schreibmaschin1,1,18,1923-11-15,a,false,vortraege-maschinengeschrieben/231115a-anthroposophische-menschenerkenntnis-und-medizin.pdf,false,
231116a-231116,231116,legacy/Webpage Uranos/Schreibmaschin1,1,21,1923-11-16,a,false,vortraege-maschinengeschrieben/231116a-231116.pdf,false,
231118b-231118,231118,legacy/Webpage Uranos/Schreibmaschin1,1,12,1923-11-18,b,false,vortraege-maschinengeschrieben/231118b-231118.pdf,false,
231223b-ansprache,Ansprache,legacy/Webpage Uranos/Schreibmaschin1,1,4,1923-12-23,b,false,vortraege-maschinengeschrieben/231223b-ansprache.pdf,false,
240430a-bei-der-feier-zum-beginn-des-6-schuljahres,Bei der Feier zum Beginn des 6. Schuljahres,legacy/Webpage Uranos/Schreibmaschin1,1,3,1924-04-30,a,false,vortraege-maschinengeschrieben/240430a-bei-der-feier-zum-beginn-des-6-schuljahres.pdf,false,
240604b-vortrag-zum-pfinstfest,Vortrag zum Pfinstfest,legacy/Webpage Uranos/Schreibmaschin1,1,12,1924-06-04,b,false,vortraege-maschinengeschrieben/240604b-vortrag-zum-pfinstfest.pdf,false,
240611c-karmabetrachtungen-5,Karmabetrachtungen 5,legacy/Webpage Uranos/Schreibmaschin1,1,15,1924-06-11,c,false,vortraege-maschinengeschrieben/240611c-karmabetrachtungen-5.pdf,false,
240821b-keyserlingk-nachlass,Keyserlingk Nachlaß,legacy/Webpage Uranos/Schreibmaschin1,1,11,1924-08-21,b,false,vortraege-maschinengeschrieben/240821b-keyserlingk-nachlass.pdf,false,
240905-priester-apokalypse,Priester-Apokalypse,legacy/Webpage Uranos/Schreibmaschin1,1,185,1924-09-05,,false,vortraege-maschinengeschrieben/240905-priester-apokalypse.pdf,false,
uber-die-wanderung-der-rassen,Über die Wanderung der Rassen,legacy/Webpage Uranos/Schreibmaschin1,1,9,,,true,vortraege-maschinengeschrieben/uber-die-wanderung-der-rassen.pdf,false,
nebenubungen,Nebenübungen,legacy/Webpage Uranos/Schreibmaschin1,1,5,,,true,vortraege-maschinengeschrieben/nebenubungen.pdf,false,
