documentGroup,title,legacyFolder,sourceFileCount,pageCount,date,dateSuffix,isVerbatim,r2Key,needsReview,reviewReason
europaisches,Europäisches,legacy/Webpage Uranos/Unveröffentliches/Europäisches,34,34,,,false,vortraege-unveroeffentlicht/europaisches.pdf,false,
030328-tempelritter,Tempelritter,legacy/Webpage Uranos/Unveröffentliches,1,10,1903-03-28,,true,vortraege-unveroeffentlicht/030328-tempelritter.pdf,false,
030821-evolution-und-wieder-verkorperung,Evolution und Wieder-Verkörperung,legacy/Webpage Uranos/Unveröffentliches,1,13,1903-08-21,,false,vortraege-unveroeffentlicht/030821-evolution-und-wieder-verkorperung.pdf,false,
030824-ein-besonderer-fall-von-entwicklung,Ein besonderer Fall von Entwicklung,legacy/Webpage Uranos/Unveröffentliches,1,1,1903-08-24,,false,vortraege-unveroeffentlicht/030824-ein-besonderer-fall-von-entwicklung.pdf,false,
030828-eingeweihter-einweihung,Eingeweihter - Einweihung,legacy/Webpage Uranos/Unveröffentliches,1,12,1903-08-28,,false,vortraege-unveroeffentlicht/030828-eingeweihter-einweihung.pdf,false,
030904-geheimhaltung-oder-veroffentlichung-esoterische-lehren,Geheimhaltung oder Veröffentlichung esoterische Lehren,legacy/Webpage Uranos/Unveröffentliches,1,13,1903-09-04,,false,vortraege-unveroeffentlicht/030904-geheimhaltung-oder-veroffentlichung-esoterische-lehren.pdf,false,
030918-embryologie,Embryologie,legacy/Webpage Uranos/Unveröffentliches,1,11,1903-09-18,,false,vortraege-unveroeffentlicht/030918-embryologie.pdf,false,
030925-das-symbole-der-biene,Das Symbole der Biene,legacy/Webpage Uranos/Unveröffentliches,1,12,1903-09-25,,false,vortraege-unveroeffentlicht/030925-das-symbole-der-biene.pdf,false,
031002-ursprung-und-bedeutung-des-menschlichen-leides,Ursprung und Bedeutung des menschlichen Leides,legacy/Webpage Uranos/Unveröffentliches,1,10,1903-10-02,,false,vortraege-unveroeffentlicht/031002-ursprung-und-bedeutung-des-menschlichen-leides.pdf,false,
031009-inkarnationen-folge,Inkarnationen - Folge,legacy/Webpage Uranos/Unveröffentliches,1,11,1903-10-09,,false,vortraege-unveroeffentlicht/031009-inkarnationen-folge.pdf,false,
